"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"E105059 / 066902";1;18;0,00;16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"C105061 / 082901";1;8;904,00;4;1587,07;614,72;0,00;508,32;86,00;0,00;0,00;0,00;28,25;0,00;0,00;1237,29;349,78;22,04;614,72
"C105062 / 055912";1;14;3340,00;10;4370,00;2672,00;0,00;743,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3415,20;954,80;21,85;2672,00
"C105064 / 048912";1;10;1800,00;8;1881,80;1476,00;0,00;0,00;0,00;0,00;0,00;0,00;37,97;0,00;0,00;1513,97;367,83;19,55;0,00
"E105066 / 014916";1;8;3605,00;8;5068,00;2884,00;0,00;1301,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4185,40;882,60;17,42;2884,00
"C105067 / 025905";1;12;3079,00;10;3320,00;2463,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2463,20;856,80;25,81;2463,20
"T105068 / 025906";1;8;1999,00;4;2746,00;1599,20;0,00;906,16;240,64;0,00;0,00;0,00;0,00;0,00;0,00;2746,00;0,00;0,00;1599,20
"C105069 / 006903";1;22;4395,00;22;5895,00;4780,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4780,00;1115,00;18,91;4780,00
"C105070 / 012909";1;5;1476,00;4;2155,00;1217,70;0,00;596,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1813,77;341,23;15,83;0,00
"C105071 / 130929";1;8;4195,00;7;5225,00;3356,00;0,00;876,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4232,50;992,50;19,00;3356,00
"C105072 / 012910";1;17;2482,00;14;4990,00;2047,65;0,00;2004,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4052,45;937,55;18,79;0,00
"C105073 / 012911";1;15;1862,00;12;4080,00;1536,15;0,00;1718,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3254,55;825,45;20,23;0,00
"C105074 / 035942";1;8;1680,00;8;2049,00;1676,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1676,00;373,00;18,20;0,00
"C105075 / 035943";1;6;1260,00;4;1560,00;1279,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1279,00;281,00;18,01;0,00
"C105076 / 014918";1;8;2465,00;7;4432,50;1972,00;0,00;1311,00;307,12;0,00;0,00;0,00;0,00;0,00;0,00;3590,12;842,38;19,00;1972,00
"C105081 / 048913";1;24;8990,00;24;15383,00;8259,00;0,00;5137,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13396,57;1986,43;12,91;0,00
"C105083 / 035913";1;10;3495,00;10;4112,00;2350,00;212,00;0,00;301,25;0,00;0,00;0,00;0,00;0,00;0,00;2863,25;1248,75;30,37;0,00
"C105084 / 166904";1;8;2100,00;7;2120,00;1659,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1659,00;461,00;21,75;1659,00
"C105085 / 048914";1;14;1750,00;11;4310,00;1435,00;0,00;1988,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3423,25;886,75;20,57;1435,00
"C105087 / 055914";1;16;4200,00;12;6529,00;2856,00;0,00;2338,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5194,50;1334,50;20,44;3184,00
"C105088 / 030905";1;10;2445,00;8;2980,52;2200,50;0,00;0,00;0,00;0,00;0,00;0,00;116,38;0,00;0,00;2316,88;663,64;22,27;0,00
"C105089 / 016901";1;10;3276,00;10;7147,00;2358,72;0,00;1686,62;525,89;1216,80;0,00;0,00;0,00;0,00;0,00;5788,03;1358,97;19,01;2358,72
"C105090 / 048915";1;7;2310,00;7;2485,05;1894,20;0,00;0,00;0,00;0,00;0,00;0,00;96,93;0,00;0,00;1991,13;493,92;19,88;1894,20
"C105091 / 048916";1;21;8290,00;18;8310,00;6797,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6797,80;1512,20;18,20;0,00
"C105092 / 215901";1;10;2195,00;8;2501,00;1756,00;286,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2042,00;459,00;18,35;0,00
"C105093 / 057902";1;10;0,00;8;410,40;403,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;403,20;7,20;1,75;403,20
"C105094 / 057903";1;10;0,00;8;268,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;268,80;100,00;0,00
