"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"Z12015064";21-07-2012;1;4;1104,00;4;1195,80;883,20;0,00;0,00;0,00;0,00;0,00;0,00;49,63;0,00;0,00;932,83;262,97;21,99;883,20
"Z12015071";18-08-2012;1;4;1005,00;4;1299,46;1005,00;0,00;0,00;0,00;0,00;0,00;0,00;16,27;0,00;0,00;1021,27;278,19;21,41;1005,00
"Z12015077";07-07-2012;1;6;1288,00;5;1305,00;1094,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1094,80;210,20;16,11;1094,80
"Z12015078";28-07-2012;1;9;1400,00;9;1530,00;1106,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1106,00;424,00;27,71;1106,00
"Z12015079";30-06-2012;1;10;700,00;7;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;539,00
"Z12015086";09-03-2012;1;2;350,00;2;508,55;297,50;0,00;0,00;0,00;0,00;0,00;0,00;20,72;0,00;0,00;318,22;190,33;37,43;297,50
"Z12015087";28-04-2012;1;10;400,00;10;380,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;72,00;18,95;308,00
"Z12015090";21-07-2012;1;6;1129,20;6;1148,00;959,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;959,82;188,18;16,39;0,00
"Z12015103";28-07-2012;1;6;1176,00;4;1077,50;940,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;940,80;136,70;12,69;940,80
"Z12015119";21-04-2012;1;10;1098,00;10;1390,00;1098,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1098,00;292,00;21,01;1098,00
"I12015134";07-07-2012;1;5;855,00;5;775,00;684,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;684,00;91,00;11,74;684,00
"Z12015141";13-07-2012;1;6;1110,00;5;1220,00;966,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;966,00;254,00;20,82;966,00
"Z12015145";28-07-2012;1;8;1793,00;8;1810,00;1434,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1434,40;375,60;20,75;1434,40
